"Patch_ID","Species","Life_Stage","Presence","Presence2","Abundance","Density","Survey_Area","Long_M","Lat_M","Habitat","Mangrove_Dist","Reef_Dist","Depth","Slope","BPI_Broad","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal","Patch_Area","PA_Ratio","Patch_Neigh_Dist","Area_CRHB","Area_SG","Pred_Density","Object_ID"
6984,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286179.6246,124548.1131,1,4721.923828,1294.97473144531,-7.016906261,4.974874496,137,30.49230957,35.51097488,23.39752388,36.55677795,504.218007994047,0.160633014045922,2.04965780068516,105964.943960132,674435.531073049,0,396
4942,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,279000.2639,108101.4223,1,5272.274902,1638.91918945312,-7.546489239,0.568144798,-8,30.43997765,35.512146,23.33747292,36.23324203,295.74827248554,0.21568662053524,9.57043586213917,134614.20964505,628637.573062905,0.0169491525423729,245
1294,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,244992.6414,67603.2852,1,2203.416504,262.634552001953,-4.133058071,0.093158357,-8,30.65746689,35.99522781,24.06311226,36.34251022,2966.13605894374,0.0742017971844426,35.1741122988277,534627.750279473,250768.345471699,0.0169491525423729,130
7223,"LUT GRIS","SUBADULT","1","PRESENCE",1,0.00564971751412429,177,283425.7142,123583.4823,1,2220.061035,4447.61962890625,-5.276779652,0.094748132,64,30.46388245,35.51097488,23.10803986,36.52838135,2246.24657752712,0.0779740262375695,112.108351393726,5049.81615795637,780346.653660769,0.0317796610169492,385
3537,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,284168.7363,118177.4071,8,4825.939941,2752.447265625,-5.318425179,1.729931116,209,30.48793793,35.51097488,23.3247757,36.19724655,3500.52349891033,0.0667714383483056,3.20070568862985,242938.920642242,382226.367780605,0.00282485875706215,331
6540,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286311.7767,125892.7947,3,4336.650391,905,-6.285003662,0.534272969,209,30.48477936,35.51097488,23.39743614,36.61227036,24187.1627163757,0.0377185243460243,2.58615029616408,169677.20619818,613016.919271305,0,421
8317,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,288727.2635,144974.0609,1,14084.68262,1907.07104492188,-7.737924099,2.64910388,-8,30.35888672,35.51097488,23.48732376,35.47940826,5574.60856443141,0.050393364365563,129.768027244329,19944.861724817,439912.148356564,0,469
102,"LUT GRIS","SUBADULT","1","PRESENCE",16.5,0.0932203389830508,177,207540.257,42961.924,1,4891.334961,3654.83813476562,-7.594758511,1.563955426,64,30.59838104,35.51097488,23.9187336,36.00501251,19410.866443472,0.0429086066452922,3.17243749460326,190655.79322139,550193.205216565,0,92
1977,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,281897.5397,113720.9676,1,5652.711914,3085.5634765625,-4.039385796,2.771252632,209,30.47080994,35.52867126,23.2831192,36.19461823,15613.9968246974,0.033738772158495,7.30449999962002,249513.685283287,535063.021630509,0,277
6228,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286935.6002,131884.8358,1,3977.9646,1999.04113769531,-7.887898445,1.510187745,64,30.42137146,35.53765106,23.33251953,36.53802872,1781.00139182189,0.121093741916343,27.9733425291192,64547.0549828011,720849.440411942,0,450
