"Covariates","Coefficients","exp(Est.)","2.5%","97.5%","z val.","p"
"Area_CRHB",2.10875639566934e-06,1.00000210875862,0.999998833768411,1.00000538375955,1.26201553978707,0.206943194693351
"Area_SG",1.75741691714334e-06,1.00000175741846,0.999999484623573,1.00000403021852,1.51552435293708,0.12963966788553
"BPI_Broad",-0.00682332606266033,0.993199899970329,0.988801262122655,0.997618104960215,-3.01300051260496,0.00258678480660359
"Depth",0.3544870063836,1.42544922033651,1.10868823289381,1.83271132449423,2.76464626431163,0.0056984553604684
"Habitat",0.0250464908965754,1.02536278945173,0.841483168320824,1.24942350551139,0.24838733882497,0.803834728846024
"Intercept",-212.11682561258,7.5654212961895e-93,4.22215589503076e-198,13556012807627.3,-1.71542527665255,0.0862672844294246
"Mangrove_Dist",0.000256263055640471,1.00025629589382,0.999995781241728,1.00051687841409,1.92822038099671,0.0538277201733331
"Mean_Sum_Sal",6.06405050317761,430.11409176399,2.71647593645672,68102.2531623333,2.34669086253403,0.0189409625124439
"Mean_Sum_Temp",-1.22662999382428,0.293279267113686,0.0131081220863481,6.56178878653578,-0.77356280419652,0.439189375355097
"Mean_Win_Sal",0.300998795956648,1.35120771462437,0.224924132622117,8.11723609546058,0.329029441009287,0.742133435143896
"Mean_Win_Temp",0.97136448458414,2.64154635070653,1.00117423128325,6.96958322028254,1.96233475586314,0.049723523307757
"PA_Ratio",5.41265852490673,224.226908813724,0.156022474055858,322246.566979562,1.45914883871558,0.14452414659008
"Patch_Area",-2.07736253462761e-05,0.999979226590424,0.999963949262766,0.999994504151487,-2.66502110870957,0.00769834903964651
"Patch_Neigh_Dist",0.000736189191516322,1.00073646024529,0.999692977315717,1.0017810323659,1.38307388461353,0.166642212317999
"Pred_Density",16.2966011955321,11954295.1140227,0.000701867619444567,203607016072685056,1.35581347765744,0.175158521969277
"Reef_Dist",0.000339506721420388,1.00033956436035,1.00003944543483,1.00063977335368,2.21761103829391,0.0265813646121601
"Slope",0.219328794150423,1.24524063722356,0.947616965793521,1.63634073741436,1.57386855578374,0.115517840746482
